[23-Mar-2022 (13:12:10)] ➝ Valid message ➝ a:b:500:d9ed1062c7a640979dfcb9e4773ec6e1:7d6c67d31130ed710043829043461184c08bc416590ab3f57839a25de979099e

[23-Mar-2022 (13:12:15)] ➝ Invalid message, repeated nonce ➝ a:b:500:d9ed1062c7a640979dfcb9e4773ec6e1:7d6c67d31130ed710043829043461184c08bc416590ab3f57839a25de979099e

[23-Mar-2022 (13:12:16)] ➝ Invalid message, repeated nonce ➝ a:b:500:d9ed1062c7a640979dfcb9e4773ec6e1:7d6c67d31130ed710043829043461184c08bc416590ab3f57839a25de979099e

[23-Mar-2022 (13:12:17)] ➝ Invalid message, repeated nonce ➝ a:b:500:d9ed1062c7a640979dfcb9e4773ec6e1:7d6c67d31130ed710043829043461184c08bc416590ab3f57839a25de979099e

[23-Mar-2022 (13:12:28)] ➝ Invalid message, HMAC is different ➝ test:test2:1000:95ac460d3ccd4debb52da600db836076:ef2453e77fe7e03229ce95aa00510bb0448054672fb270690a2b64d6754cb47a

[23-Mar-2022 (13:36:10)] ➝ Invalid message, repeated nonce ➝ a:b:500:ab4dbc0721414c488e27a98b05fee920:a9e9774df9dce8643654034cb1dd963da99264572e65688f51dac4e919e2986a4b9af4bc97c6623c4d4a02431128e980a15cdb3cdfd151c8e0e006dd27cfbfc0

[23-Mar-2022 (13:36:10)] ➝ Invalid message, repeated nonce ➝ a:b:500:ab4dbc0721414c488e27a98b05fee920:a9e9774df9dce8643654034cb1dd963da99264572e65688f51dac4e919e2986a4b9af4bc97c6623c4d4a02431128e980a15cdb3cdfd151c8e0e006dd27cfbfc0

[23-Mar-2022 (13:36:11)] ➝ Invalid message, repeated nonce ➝ a:b:500:ab4dbc0721414c488e27a98b05fee920:a9e9774df9dce8643654034cb1dd963da99264572e65688f51dac4e919e2986a4b9af4bc97c6623c4d4a02431128e980a15cdb3cdfd151c8e0e006dd27cfbfc0

[23-Mar-2022 (13:36:12)] ➝ Invalid message, repeated nonce ➝ a:b:500:ab4dbc0721414c488e27a98b05fee920:a9e9774df9dce8643654034cb1dd963da99264572e65688f51dac4e919e2986a4b9af4bc97c6623c4d4a02431128e980a15cdb3cdfd151c8e0e006dd27cfbfc0

[23-Mar-2022 (13:36:13)] ➝ Invalid message, repeated nonce ➝ a:b:500:ab4dbc0721414c488e27a98b05fee920:a9e9774df9dce8643654034cb1dd963da99264572e65688f51dac4e919e2986a4b9af4bc97c6623c4d4a02431128e980a15cdb3cdfd151c8e0e006dd27cfbfc0

[23-Mar-2022 (13:36:13)] ➝ Invalid message, repeated nonce ➝ a:b:500:ab4dbc0721414c488e27a98b05fee920:a9e9774df9dce8643654034cb1dd963da99264572e65688f51dac4e919e2986a4b9af4bc97c6623c4d4a02431128e980a15cdb3cdfd151c8e0e006dd27cfbfc0

[23-Mar-2022 (13:36:14)] ➝ Invalid message, repeated nonce ➝ a:b:500:ab4dbc0721414c488e27a98b05fee920:a9e9774df9dce8643654034cb1dd963da99264572e65688f51dac4e919e2986a4b9af4bc97c6623c4d4a02431128e980a15cdb3cdfd151c8e0e006dd27cfbfc0

[23-Mar-2022 (13:36:15)] ➝ Invalid message, repeated nonce ➝ a:b:500:ab4dbc0721414c488e27a98b05fee920:a9e9774df9dce8643654034cb1dd963da99264572e65688f51dac4e919e2986a4b9af4bc97c6623c4d4a02431128e980a15cdb3cdfd151c8e0e006dd27cfbfc0

[23-Mar-2022 (13:42:08)] ➝ Invalid message, HMAC is different ➝ a:b:500:84cc3ae969594920bdceaea973e84f77:71925f192e1c910b2ae0dc0242b1c1c30f22943cab862c17cc3ae9ff964ff4459b96a228d87b3a0fb8b7f81739347c08605fa87897b870ae6785cf109c0ba400

[23-Mar-2022 (13:42:09)] ➝ Invalid message, repeated nonce ➝ a:b:500:84cc3ae969594920bdceaea973e84f77:71925f192e1c910b2ae0dc0242b1c1c30f22943cab862c17cc3ae9ff964ff4459b96a228d87b3a0fb8b7f81739347c08605fa87897b870ae6785cf109c0ba400

[23-Mar-2022 (13:42:09)] ➝ Invalid message, repeated nonce ➝ a:b:500:84cc3ae969594920bdceaea973e84f77:71925f192e1c910b2ae0dc0242b1c1c30f22943cab862c17cc3ae9ff964ff4459b96a228d87b3a0fb8b7f81739347c08605fa87897b870ae6785cf109c0ba400

[23-Mar-2022 (13:42:10)] ➝ Invalid message, repeated nonce ➝ a:b:500:84cc3ae969594920bdceaea973e84f77:71925f192e1c910b2ae0dc0242b1c1c30f22943cab862c17cc3ae9ff964ff4459b96a228d87b3a0fb8b7f81739347c08605fa87897b870ae6785cf109c0ba400

[23-Mar-2022 (13:42:11)] ➝ Invalid message, repeated nonce ➝ a:b:500:84cc3ae969594920bdceaea973e84f77:71925f192e1c910b2ae0dc0242b1c1c30f22943cab862c17cc3ae9ff964ff4459b96a228d87b3a0fb8b7f81739347c08605fa87897b870ae6785cf109c0ba400

[23-Mar-2022 (13:44:47)] ➝ Invalid message, HMAC is different ➝ a:b:500:925a721d922b4262a6aec3e7bdf26e13:72815e0040ce1c1489d378864c1ee7cd01562ed5945db4c9a6f52b67d0c0822658bd6bad67eb40bd76d182fa90569b05813b0f211d92bed687f13d7ca6e99543

[23-Mar-2022 (13:44:48)] ➝ Invalid message, repeated nonce ➝ a:b:500:925a721d922b4262a6aec3e7bdf26e13:72815e0040ce1c1489d378864c1ee7cd01562ed5945db4c9a6f52b67d0c0822658bd6bad67eb40bd76d182fa90569b05813b0f211d92bed687f13d7ca6e99543

[23-Mar-2022 (13:44:48)] ➝ Invalid message, repeated nonce ➝ a:b:500:925a721d922b4262a6aec3e7bdf26e13:72815e0040ce1c1489d378864c1ee7cd01562ed5945db4c9a6f52b67d0c0822658bd6bad67eb40bd76d182fa90569b05813b0f211d92bed687f13d7ca6e99543

[23-Mar-2022 (13:50:39)] ➝ Invalid message, HMAC is different ➝ a:b:500:bbbc0a241fcf4a70bd9e635ef02fec05:038e3f25d78048399874bfc41dc8e404644f7137b11de04e824e11d12a2b62a241362c3b00baa7be7560006cf2f94a5e363064a82e1e9ddbfe5d9c80c142ea47:SHA-512

[23-Mar-2022 (13:50:40)] ➝ Invalid message, repeated nonce ➝ a:b:500:bbbc0a241fcf4a70bd9e635ef02fec05:038e3f25d78048399874bfc41dc8e404644f7137b11de04e824e11d12a2b62a241362c3b00baa7be7560006cf2f94a5e363064a82e1e9ddbfe5d9c80c142ea47:SHA-512

[23-Mar-2022 (13:50:40)] ➝ Invalid message, repeated nonce ➝ a:b:500:bbbc0a241fcf4a70bd9e635ef02fec05:038e3f25d78048399874bfc41dc8e404644f7137b11de04e824e11d12a2b62a241362c3b00baa7be7560006cf2f94a5e363064a82e1e9ddbfe5d9c80c142ea47:SHA-512

[23-Mar-2022 (13:50:41)] ➝ Invalid message, repeated nonce ➝ a:b:500:bbbc0a241fcf4a70bd9e635ef02fec05:038e3f25d78048399874bfc41dc8e404644f7137b11de04e824e11d12a2b62a241362c3b00baa7be7560006cf2f94a5e363064a82e1e9ddbfe5d9c80c142ea47:SHA-512

[23-Mar-2022 (13:50:41)] ➝ Invalid message, repeated nonce ➝ a:b:500:bbbc0a241fcf4a70bd9e635ef02fec05:038e3f25d78048399874bfc41dc8e404644f7137b11de04e824e11d12a2b62a241362c3b00baa7be7560006cf2f94a5e363064a82e1e9ddbfe5d9c80c142ea47:SHA-512

[23-Mar-2022 (13:51:16)] ➝ Invalid message, HMAC is different ➝ a:b:500:d5bfa990dd884956b4039cc48bb93440:46a4ae5557a37cc82e7305f2c995aabf0976d884b120fc5831cd125d208dd4aa:SHA-256

